Số thứ tự,Nội dung feedback
1,"Tôi đã đến & trải nghiệm bữa trưa cùng bạn bè tại đây món ăn rất ngon hương vị phong phú t sẽ quay lại HN khi có chuyến công tác trog dịp tới,đồ ăn siu ngon 😋😋😋😋😋, nhà hàng đa dạng món ăn nhé& bật mí luôn nhà hàng có rất nhiều view sống ảo 😎😎😎😎"
2,"Đồ ăn rất ngon và hợp khẩu vị, các bạn phục vụ chu đáo, tác phong chuyên nghiệp, thái độ nhiệt tình. Giá cả là khá mềm so với chất lượng đồ ăn của một nhà hàng trong khách sạn sang trọng. Chưa kể menu đồ uống đa dạng như một quán cafe vậy. Ăn xong lên rooftop bar tầng 14 vừa chill ngắm view hồ Tây là chuẩn bài."
3,"Đồ ăn ngon, bày biện đẹp mắt, nhân viên phục vụ nhiệt tình vui vẻ. Nhà hàng đẹp,ấm cúng rất phù hợp để trải nghiệm ăn uống cặp đôi và hội bạn hay tiếp khách. Menu đa dạng từ món Á tới món Âu và đồ chay. Tráng miệng ngon. Service 10 điểm"
4,"Không gian quán ấm áp, lịch sự. Trang trí bàn tiệc sang trọng, hài lòng thực khách ."
5,"Đồ ăn ngon, hợp khẩu vị, phục vụ tận tình chu đáo!"
6,"Đồ ăn ngon, nhân viên nhiệt tình đáng yêu"
7,"Nhà hàng có khu vực ngồi ấm cúng, món ăn phong phú , đồ ăn ngon rất hấp dẫn tôi sẽ quay lại trong lần tiếp theo & nhân viên phục vụ nhiệt tình ( bạn Linh rất chu đáo & giới thiệu món ăn take care khách rất tận tình)"
8,"Đồ ăn ngon, đậm chất việt, các bạn phục vụ rất nhiệt tình"
9,"Đồ ăn ngon,nhân viên phục vụ nhiệt tình,chu đáo"
10,"Đồ ăn ngon. Không gian đẹp, rất thoải mái. Các bạn nhân viên thì siêu dễ thương và nhiệt tình"
11,"Tôi đã đến & trải nghiệm bữa trưa cùng bạn bè tại đây món ăn rất ngon hương vị phong phú t sẽ quay lại HN khi có chuyến công tác trog dịp tới,đồ ăn siu ngon 😋😋😋😋😋, nhà hàng đa dạng món ăn nhé& bật mí luôn nhà hàng có rất nhiều view sống ảo 😎😎😎😎"
12,"Đồ ăn rất ngon và hợp khẩu vị, các bạn phục vụ chu đáo, tác phong chuyên nghiệp, thái độ nhiệt tình. Giá cả là khá mềm so với chất lượng đồ ăn của một nhà hàng trong khách sạn sang trọng. Chưa kể menu đồ uống đa dạng như một quán cafe vậy. Ăn xong lên rooftop bar tầng 14 vừa chill ngắm view hồ Tây là chuẩn bài."
13,"Đồ ăn ngon, bày biện đẹp mắt, nhân viên phục vụ nhiệt tình vui vẻ. Nhà hàng đẹp,ấm cúng rất phù hợp để trải nghiệm ăn uống cặp đôi và hội bạn hay tiếp khách. Menu đa dạng từ món Á tới món Âu và đồ chay. Tráng miệng ngon. Service 10 điểm"
14,"Không gian quán ấm áp, lịch sự. Trang trí bàn tiệc sang trọng, hài lòng thực khách ."
15,"Đồ ăn ngon, hợp khẩu vị, phục vụ tận tình chu đáo!"
16,"Đồ ăn ngon, nhân viên nhiệt tình đáng yêu"
17,"Nhà hàng có khu vực ngồi ấm cúng, món ăn phong phú , đồ ăn ngon rất hấp dẫn tôi sẽ quay lại trong lần tiếp theo & nhân viên phục vụ nhiệt tình ( bạn Linh rất chu đáo & giới thiệu món ăn take care khách rất tận tình)"
18,"Đồ ăn ngon, đậm chất việt, các bạn phục vụ rất nhiệt tình"
19,"Đồ ăn ngon,nhân viên phục vụ nhiệt tình,chu đáo"
20,"Đồ ăn ngon. Không gian đẹp, rất thoải mái. Các bạn nhân viên thì siêu dễ thương và nhiệt tình"
21,"Đồ ăn rất ngon và tuyệt vời. Nhân viên tận tình, chứ đáo"
